,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PSME2,0.016037174,-0.0023162188,1.4658034,0.12571794,-2.1826178e-05,0.50784767,0.041586623,0.35330307,-0.00074797746,0.09418394,-0.0012551525,-0.00066543155,0.010981664,-0.00019987914,-0.00076328806,0.32227466
MZF1,-0.00047202647,-0.0014264768,0.9016885,0.1411386,-0.00077243504,0.36148107,0.03340683,0.20747006,-0.0003740961,0.059085555,-0.00081436854,0.0034194998,0.043522924,0.026421687,-0.00089990016,0.18653433
CAT,-0.00010924838,-0.001988454,1.5864537,-0.0001370041,-0.0008055052,0.44507846,-0.00024017518,0.5461454,-0.0004595963,0.30041116,-0.0029063846,0.00838414,0.21622178,-0.00019560996,0.015464105,0.15878214
ESRRA,0.0007724017,-0.00210661,1.69275,-9.524517e-05,-0.0006804924,0.48744926,-0.00026352316,0.5805404,-0.00050758064,0.32739598,-0.003046472,0.003929127,0.21822676,-0.00027710685,0.026664272,0.17213966
MRPL39,0.006909542,-0.0018177121,1.1327524,0.099019825,-0.00080608786,0.41982096,0.034315377,0.2695089,-0.0007790783,0.06532631,-0.0006549585,0.004268417,0.019099243,-0.00034056717,-0.0008570369,0.24990799
STRN3,0.0024769679,-0.002063144,1.6545875,-0.00018446184,-0.0007552484,0.46869937,-0.00024628505,0.56824917,-0.0005082333,0.32106337,-0.003002334,0.015684541,0.22145727,-0.00026019226,0.022014983,0.16860773
CNPY3,-3.582589e-05,-0.0019719882,1.5567769,-4.5221597e-05,-0.00075761985,0.4428674,-0.00022154045,0.5313305,-0.00050954265,0.29395682,-0.0027797355,0.0071898624,0.20510083,-0.00018267568,0.00993748,0.16531031
HDAC10,3.4950674e-05,-0.0020894033,1.6787341,-0.0001004216,-0.0006973827,0.4789726,-0.00022523013,0.5723903,-0.000516599,0.3201531,-0.003041603,0.010224242,0.21592516,-0.00023161764,0.020187505,0.17259748
USP28,-0.00040470934,-0.0015287381,1.2976472,0.00533095,-0.0012638241,0.3851968,-0.0003455408,0.46583548,-0.00040496772,0.29695746,-0.0024745916,0.053399816,0.22326209,-0.00010186378,-9.794831e-06,0.10867435
NUP62,-0.000307454,-0.001450337,1.1981659,0.03612733,-0.0011290429,0.3736008,-0.00026735122,0.4149872,-0.00042476336,0.2556674,-0.00206992,0.020739863,0.1777783,-3.42172e-05,-0.00017689049,0.12355696
