,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PSME2,-0.0016712716,0.041829724,0.7433491,-0.0005860697,0.33140856,0.237266,-0.0014977605,0.20712331,-0.00027222213,0.18550093,0.14802775,0.013547629,0.006411612,-0.0032087145,-0.00050025724,-0.00041165276
MZF1,-0.0006019278,0.016410364,0.1456126,-0.00012591362,0.1450552,0.0089532435,-0.00076206255,0.035080545,-0.00020752203,0.081417985,0.083195366,0.05012389,-0.0010551038,-0.0007704596,-0.00042568016,-4.438311e-06
CAT,-0.003202935,0.09180808,0.77093303,-0.0013743812,0.46378005,0.2598988,-0.0015706631,0.21817684,-0.0013833881,-0.0007707049,0.1592844,-0.0017678335,-0.0017870306,-0.0027885484,-0.0016265064,-0.00290699
ESRRA,-0.0034668483,0.09521386,0.8218102,-0.0015173545,0.48454058,0.27502376,-0.0016654341,0.22407287,-0.0014923095,-0.00086410413,0.1619472,-0.001910698,-0.001770982,-0.0030923043,-0.0017285978,-0.0031936907
MRPL39,-0.00093850587,0.024670472,0.5824908,-1.6566739e-05,0.26634884,0.17490134,-0.0014583255,0.14751932,0.0033317897,0.19053635,0.13258013,0.045320213,0.01880753,-0.0024982742,-2.3272745e-05,-5.100794e-05
STRN3,-0.0033644591,0.09123765,0.84268993,-0.0014028252,0.48822337,0.28771403,-0.0017119998,0.22850728,-0.0014563255,-0.0007062518,0.16794398,-0.001783022,-0.0016226029,-0.0031471343,-0.0016066822,-0.0030578964
CNPY3,-0.0031160552,0.09068833,0.7799243,-0.001290041,0.46104342,0.26288873,-0.001606056,0.21316087,-0.0013881993,-0.00060757366,0.1538845,-0.0015889216,-0.001662958,-0.0028894108,-0.0015582221,-0.0027976856
HDAC10,-0.0033503638,0.09202473,0.81780213,-0.0014169129,0.48052675,0.28115264,-0.0016799193,0.22774306,-0.0014293676,-0.0007016961,0.16415906,-0.0017847597,-0.0017235583,-0.0030555823,-0.0016640422,-0.003021617
USP28,-0.0021036016,0.07555227,0.3666063,-0.00035570344,0.35482424,0.124519244,-0.0017015766,0.08847659,-0.001418024,-0.0006816286,0.11662344,-0.000967462,-0.0023946578,-0.0019729845,-0.0018019311,-0.002583306
NUP62,-0.002114741,0.06764181,0.3661883,-0.0005629395,0.31784868,0.10695736,-0.0013967411,0.08095943,-0.0011334132,-0.0007566617,0.1037231,-0.0007946074,-0.0022239797,-0.001747319,-0.0015617766,-0.0021792187
LMO4,-2.3274537e-05,-7.458828e-05,-0.00034550435,0.008933891,0.09004231,-0.0007194552,-0.0005655476,-0.0004949702,-0.00022591825,0.0012565255,0.056595173,0.10086185,-0.0013131404,-0.00032929264,-0.00027092602,0.024383899
ZNF44,-0.0014119644,0.039045863,0.609795,-0.0006212149,0.2949589,0.1948165,-0.0012809257,0.18114543,-8.44062e-05,0.18205005,0.1408063,0.010088049,-0.00010703843,-0.00267023,-0.00041047158,-0.0002535624
FDPS,-0.0016879282,0.03516619,-0.0022245457,-0.00022256358,0.26443273,-0.0007679862,-0.0015454849,-0.00082511245,-0.0015051303,-0.0016099571,0.087466344,-0.0009841495,-0.004216487,-0.0010906532,-0.0021857822,-0.0025025334
ZNF639,-0.0016213694,0.07374291,0.13640268,-0.00014087952,0.3120247,0.063297614,-0.0016381799,0.041428275,-0.001370016,-0.0006233643,0.11031653,-0.0007014632,-0.0030530463,-0.0015152731,-0.0020574175,-0.0023126062
JAK1,-0.0031949703,0.09242666,0.77571523,-0.0012250112,0.46175295,0.25910497,-0.0017124215,0.20226157,-0.0014664839,-0.00075467926,0.15309107,-0.0016749366,-0.0016947832,-0.0029225408,-0.0016604802,-0.0030466558
ZNF814,-0.0017512155,0.073744744,0.062992886,-0.00041680096,0.2834535,0.02408129,-0.0014327733,0.04554213,-0.0013877219,-0.0007560603,0.089834146,-0.0009452443,-0.003515098,-0.00087948755,-0.0022419456,-0.0019617816
