Source,Target,Color
ESRRA,CPNE2,green
ESRRA,MAVS,green
ESRRA,RPL36,green
ESRRA,GMFG,green
ESRRA,B2M,green
ESRRA,ABHD5,green
ESRRA,QDPR,green
ESRRA,IGSF6,green
ESRRA,MEF2D,green
ESRRA,ARSG,green
ESRRA,COG3,green
ESRRA,DNASE1L1,green
ESRRA,POLR1E,green
ESRRA,TBC1D10C,green
ESRRA,SSFA2,green
ESRRA,SPNS3,green
ESRRA,DENND1B,green
ESRRA,FBXL12,green
ESRRA,IRAK3,green
ESRRA,ARPC4,green
ESRRA,EIF4G2,green
ESRRA,SEMA4A,green
ESRRA,LEO1,green
ESRRA,TNFAIP2,green
ESRRA,NEK9,green
ESRRA,UQCRH,green
ESRRA,AOAH,green
ESRRA,AC013264.2,green
ESRRA,LILRB4,green
ESRRA,EML2,green
ESRRA,IPCEF1,green
ESRRA,THRA,green
ESRRA,SEC62,green
ESRRA,CREB3L2,green
ESRRA,ALKBH3,green
ESRRA,HAVCR2,green
ESRRA,TBX21,green
ESRRA,PIGK,green
ESRRA,RFFL,green
ESRRA,TAGLN2,green
ESRRA,CXCL16,green
ESRRA,MYCBP,green
ESRRA,HERPUD1,green
ESRRA,HMGB1,green
ESRRA,ISG20,green
ESRRA,AIFM1,green
ESRRA,FCMR,green
ESRRA,UCK1,green
ESRRA,POGK,green
ESRRA,KCNK6,green
ESRRA,HINT1,green
ESRRA,TBP,green
ESRRA,LAMTOR5,green
ESRRA,FAM217B,green
ESRRA,MPRIP,green
ESRRA,PSTPIP2,green
ESRRA,STX11,green
ESRRA,SNX3,green
ESRRA,DNTTIP1,green
ESRRA,PXN,green
ESRRA,IFI44,green
ESRRA,IGFBP7,green
ESRRA,HIST3H2A,green
ESRRA,KIAA0586,green
ESRRA,APBA3,green
ESRRA,TMEM243,green
ESRRA,FKBP1A,green
ESRRA,CYSTM1,green
ESRRA,PI4KA,green
ESRRA,IL1B,green
ESRRA,GPBP1,green
ESRRA,RBM47,green
ESRRA,MXD1,green
ESRRA,MT-ND4,green
ESRRA,ZSWIM8,green
ESRRA,ADA,green
ESRRA,RPL3,green
ESRRA,SF3B5,green
ESRRA,CRTAM,green
ESRRA,PIEZO1,green
ESRRA,ATF3,green
ESRRA,ERAP1,green
ESRRA,NOL4L,green
ESRRA,SH2D2A,green
ESRRA,EFCAB2,green
ESRRA,PDZD11,green
ESRRA,DAZAP2,green
ESRRA,MEGF9,green
ESRRA,CLEC4E,green
ESRRA,ATF5,green
ESRRA,RUNX2,green
ESRRA,TM2D2,green
ESRRA,ZFP91,green
ESRRA,ENTPD6,green
ESRRA,COMTD1,green
ESRRA,ZNF561,green
ESRRA,MBOAT7,green
ESRRA,SEPT7,green
ESRRA,ATP6V0A2,green
ESRRA,CHN2,green
ESRRA,TMEM41A,green
ESRRA,HIVEP3,green
ESRRA,EMP3,green
ESRRA,HLA-DMA,green
ESRRA,GNAS,green
ESRRA,MYL6,green
ESRRA,ARHGEF40,green
ESRRA,TSTD1,green
ESRRA,ALDH3A2,green
ESRRA,UBL5,green
ESRRA,FRAT2,green
ESRRA,SERTAD2,green
ESRRA,PRAM1,green
ESRRA,CHRM3-AS2,green
ESRRA,TMA7,green
ESRRA,AC090498.1,green
ESRRA,RPS25,green
ESRRA,ICT1,green
ESRRA,TBK1,green
ESRRA,EPHX2,green
ESRRA,SH3BGRL,green
ESRRA,ITPK1,green
ESRRA,FES,green
ESRRA,S1PR5,green
ESRRA,P2RY13,green
ESRRA,HSPA1A,green
ESRRA,RARA,green
ESRRA,PHYH,green
ESRRA,GIMAP8,green
ESRRA,SPCS2,green
ESRRA,ACSL5,green
ESRRA,SCYL2,green
ESRRA,RASGRP2,green
ESRRA,GALM,green
ESRRA,PPAN,green
ESRRA,VPS33A,green
ESRRA,CSF1R,green
ESRRA,PARP1,green
ESRRA,PIK3R5,green
ESRRA,ARPC5,green
ESRRA,LTB4R,green
ESRRA,HNRNPLL,green
ESRRA,GSK3B,green
ESRRA,ALDOC,green
ESRRA,ATP6V1F,green
ESRRA,HLA-DPB1,green
ESRRA,LTBP4,green
ESRRA,HIGD2A,green
ESRRA,HLA-A,green
ESRRA,ZNF609,green
ESRRA,ACTG1,green
ESRRA,PSME2,green
ESRRA,ANPEP,green
ESRRA,RP11-488L18.10,green
ESRRA,MOSPD3,green
ESRRA,MAPKAPK3,green
ESRRA,S100A8,green
ESRRA,TPRA1,green
ESRRA,MORC2-AS1,green
ESRRA,PYGO2,green
ESRRA,GNAQ,green
ESRRA,CD79A,green
ESRRA,EEF1B2,green
ESRRA,ATP2B4,green
ESRRA,HCFC1,green
ESRRA,TSC22D3,green
ESRRA,RPS28,green
ESRRA,INTS5,green
ESRRA,C22orf46,green
ESRRA,GPR155,green
ESRRA,UBXN2B,green
ESRRA,DHRS3,green
ESRRA,ERN1,green
ESRRA,POM121C,green
ESRRA,CMIP,green
ESRRA,HLA-DQA1,green
ESRRA,JUND,green
ESRRA,PVT1,green
ESRRA,C5AR1,green
ESRRA,ARGLU1,green
ESRRA,RPL28,green
ESRRA,OGDH,green
ESRRA,CX3CR1,green
ESRRA,TLR2,green
ESRRA,CDC37L1,green
ESRRA,ECE1,green
ESRRA,FOS,green
ESRRA,VAMP8,green
ESRRA,ATXN1,green
ESRRA,PDLIM7,green
ESRRA,LILRA2,green
ESRRA,RPL21,green
ESRRA,BST1,green
ESRRA,SMCO4,green
ESRRA,MCTP1,green
ESRRA,NOL9,green
ESRRA,RPS5,green
ESRRA,HLA-DQB1,green
ESRRA,LY6E,green
ESRRA,PLAC8,green
ESRRA,RPL27A,green
ESRRA,PPCDC,green
ESRRA,TTC39B,green
ESRRA,ITPRIP,green
ESRRA,KEAP1,green
ESRRA,RPLP0,green
ESRRA,TSEN15,green
ESRRA,NR2C2AP,green
ESRRA,CD93,green
ESRRA,TAF1,green
ESRRA,SGTB,green
ESRRA,LINC01272,green
ESRRA,WDR82,green
ESRRA,ARHGEF1,green
ESRRA,SLC4A1AP,green
ESRRA,ABHD12,green
ESRRA,UAP1,green
ESRRA,PTGDR,green
ESRRA,LRRC8D,green
ESRRA,ITGA5,green
ESRRA,HNRNPA2B1,green
ESRRA,TFEC,green
ESRRA,MTAP,green
ESRRA,INTS1,green
ESRRA,NRGN,green
ESRRA,FNDC3B,green
ESRRA,SLC25A6,green
ESRRA,C15orf39,green
ESRRA,PTPN11,green
ESRRA,CBX4,green
ESRRA,MFSD14B,green
ESRRA,CLIP4,green
ESRRA,CD226,green
ESRRA,ZNF706,green
ESRRA,ZNF84,green
